text,likes,author,date,compound_score,category
"While syntax is important, the 3-Step Framework combined with soft skills is the real catalyst for a quick career launch.",0,@FutureCodingStars,2025-12-18T15:00:00Z,0.2023,Positive
thanks for making this video please bring a one shot video on django also it really needed for beginners,5,@Tech_Enthusiasts_Shubham,2024-02-20T15:42:54Z,0.6369,Positive
"Day 1: 1:41:08
Day 2: 3:49:30
Day 3: 5:31:32
Day 4: 7:05:27
Day 5,6,7 electricity issue in my town
Day 8: 8:12:00",17,@muditarastogi7498,2025-07-08T06:38:49Z,0.0,Neutral
Great explanation in a professional aspect 👍👍,11,@AGprojects1,2024-02-21T01:24:33Z,0.6249,Positive
Di I am also 23 year old ...but u are helping me lots ...I really want to say lots of thanks and respect...u make my future ❤️,1,@lifeart812,2025-12-15T15:38:04Z,0.6901,Positive
28 October 2025 anyone,3,@gayatrinile,2025-10-28T03:14:13Z,0.0,Neutral
"6:36:30 answer
n=int(input(""enter a no ""))
def no(n):
    if(n%2==0):
        print(""EVEN"")
    else:
        print(""ODD"")
no(n)",48,@IshitaRaj1,2024-12-01T04:05:58Z,-0.296,Negative
Thank you for your lovely help in learning python 🎉🎉🎉🎉🎉❤❤❤ iam in a class 8,4,@_creepy__boyy_,2024-12-27T14:13:31Z,0.8402,Positive
All students who learns python after complete c language 😊,1,@smartmt3655,2025-09-06T11:42:53Z,0.0,Neutral
Such an impressive lecture it is!! Really very helpful for class 11 and 12,26,@Logophile-31,2024-02-19T16:25:34Z,0.805,Positive
Anyone in September 2024 ?😂,27,@Facts_XYZ007,2024-09-17T05:22:38Z,0.0,Neutral
Such a wonderful series!!!!!!!!!!!!!!!,0,@PersonalPathak,2025-09-06T11:46:13Z,0.7067,Positive
"a = int(input(""Enter First Number""))
b = int(input(""Enter Second Number""))

def add_nuber(c,d):
    x = c+d
    return x


y = add_nuber(a,b)
print(y)",5,@UdaiKs,2024-02-13T05:50:21Z,0.0,Neutral
Who is watching in 20 june😊,13,@sheerazlaghari6051,2024-06-20T04:38:58Z,0.0,Neutral
"Day 1: @ 3:00:30
Day 2: @ 6:29:02
Day 3: @ 10:24:51
Thank you..",4,@badgamer4863,2024-08-02T17:20:07Z,0.3612,Positive
Thanku ma'am aapki video ki help se mere class mai mere highest number aaye hai❤❤😊😊,1,@DANNY-kv1nj,2026-01-08T05:36:26Z,0.4588,Positive
"Before watching video i am Normal person After watching video i am programmer now i print in python (""Hello World"")  😂",4,@aadi0mishra,2025-06-29T14:38:38Z,0.0,Neutral
"Shradha api apny ny jo first practice question(1:17:54) karwai hain na us mein kuch questions isy hain jin ky bary mein ap ny phely start sy nhi parhaya, jis tarhan types of operator 1st practice questions sy phely nhi parhai aur us ky related questions include hain us mein ap ny . But is ky elawa ap bohot acha parhatein hai bohot easily har topic samjh a jata hai.",13,@akkizz786,2024-09-25T16:53:35Z,0.4767,Positive
Who is watching in 10july🙂🙂2K24,22,@nehasarkar9016,2024-07-10T14:14:36Z,0.0,Neutral
Nice explanation mem ❤,0,@Quotes_World1-r3j,2025-09-18T14:28:13Z,0.4215,Positive
CLASS 12 STUDENTS>>>>>>>>>> PRESENT,11,@K.KUMAR_1,2024-04-09T06:48:55Z,0.0,Neutral
"1:34:50 
some technical error 

marks = int(input(""marks : ""))

if(marks >= 90):
    print(""A"")
elif(marks>=80 and marks<90):
    print(""B"")
elif(marks >= 70 and marks<80):
    print(""C"")
else:
    print(""D"")",100,@haarsh_lift,2024-05-02T20:20:38Z,-0.4019,Negative
Thanks for sharing this superb course,5,@abdulraheem2078,2024-02-12T14:25:17Z,0.8904,Positive
"What a course, mazaa aa gaya. Thank You and God Bless you!",1,@ashishbhat365,2025-12-25T06:26:23Z,0.7712,Positive
Anyone watch in may 2025😂😂,57,@RugvedMandavkar,2025-05-26T04:09:45Z,0.0,Neutral
Who is learning on 16/09/2024,5,@salmano0,2024-09-16T06:52:55Z,0.0,Neutral
"6:36:15 the homework code-
n=int(input(“enter the number: ”))

def the_number(n):
      if (n%2==0):
         print(“even”)
     else:
          print(“odd”)
the_number(n)",27,@adityadas7241,2024-03-23T09:06:37Z,0.0772,Positive
"I didn’t expect to learn, yet here I am—smarter and stunned.",0,@SURENDRAYADAV-b6x6s,2026-01-09T15:37:37Z,-0.1027,Negative
Abhi 10th ka board kisne Diya 😂,11,@ShubzOnLive,2024-03-12T02:34:10Z,0.0,Neutral
Thankyou ! I am waiting for this one shot ❤❤,5,@chandan.365,2024-02-12T14:26:09Z,0.0,Neutral
Anybody just started learning python... Ping me let's learn together,5,@JithendraKilarapu,2025-04-14T13:04:16Z,0.0,Neutral
"homework of Functions chapter

def check(n):
       for rem in range(1,n+1):
             rem=n%2
       if rem==0:
            print(""EVEN"")
       else:
             print(""ODD"")

       break
    
check(7)",0,@NguyenLinh-r4w,2025-08-30T10:10:09Z,0.0,Neutral
Mam dictionary me mujhe after putting an number gave an invalid syntax😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😮😢😮😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,0,@AakashParhar,2025-08-19T03:32:42Z,0.0772,Positive
me who don't like maths but want to become hacker 🥲😭,4,@AM_9753,2024-06-28T14:05:31Z,-0.0271,Neutral
Anyone here watching from August 2025 😂,357,@PleasurePage,2025-08-12T03:34:18Z,0.0,Neutral
Anyone here in October 2024 ? 😂🙌,32,@vishalkamuni4558,2024-10-02T04:29:34Z,0.0,Neutral
1 november 2025 anyone?,2,@StudentLife-e6x,2025-11-01T14:25:06Z,0.0,Neutral
Anyone here in September 2024🙃,25,@Thebeuty00,2024-09-01T04:53:08Z,0.0,Neutral
15 October 2025 anyone ??  😊😅,2,@IPlhighlights20-2,2025-10-15T01:59:39Z,0.0,Neutral
Anyone in October 18/10/2024 😅😅,5,@MahendriSingh-hu7mk,2024-10-19T04:44:21Z,0.0,Neutral
"3:25:29
is this code is correct please tell me?

 num1 = int(input(""Enter First No.:""))
num2 = int(input(""Enter Second No.:""))
num3 = int(input(""Enter Third No.:""))
if (num1 > num2 and num1 > num3):
    print(num1 , ""is the greatest number"")
elif (num2 > num1 and num2 > num3):
    print(num2 , ""is the greatest number"")
elif (num3 > num1 and num3 > num2):
    print (num3 , ""is the greatest number"")        
elif (num1==num2==num3):
    print("" all are equal"")",2,@sarthak2656,2025-12-22T11:12:04Z,0.9423,Positive
Who is watching in july 2024 😊,14,@k.sgamerz07,2024-07-04T16:32:42Z,0.0,Neutral
"1:21:41 uspe jo not, and , or in sbke baare me kb btaya ?",1,@Motivationforlife-n7q,2025-09-02T21:26:08Z,0.0,Neutral
Anyone from 2025 ⁉️,5,@veo3generates,2025-04-20T06:56:19Z,0.0,Neutral
Anyone here in September 2024,8,@MeerabRamzan-j3x,2024-09-21T13:06:02Z,0.0,Neutral
Anyone here in October 2024👀,5,@AnkitKumar-hj9cd,2024-10-09T18:24:33Z,0.0,Neutral
but you said we cannot store list and dict in set as they are mutable so how,0,@JAZ.ZY.Y,2026-01-15T15:14:17Z,0.0,Neutral
anyone who watching in October 2024,5,@travelingwithranjay6598,2024-10-02T11:33:21Z,0.0,Neutral
16 October 2025 anyone ???? 😅😅😂😂,3,@AZ_SHLOK_YT,2025-10-16T07:23:34Z,0.0,Neutral
"5:23:00 -- Answer :

num = [1, 4, 9, 16, 25, 36, 49, 64, 81, 100]

i = 0

while i<= (len(num)-1):
    print(num[i])
    i+=1",12,@AbcXyz-lo9qo,2025-02-09T18:43:50Z,0.0,Neutral
Second part advance Python please❤❤,0,@SajidBahar-h4n,2025-09-08T13:24:40Z,0.0,Neutral
"1:34:50 
mam it should be
marks = int(input(""marks :"")
otherwise is will give the output as error",7,@chaithanyaxd17,2024-05-18T06:38:04Z,-0.4019,Negative
1 Nov any one 🎉,2,@PravalSinghJhala,2025-11-01T16:11:28Z,0.0,Neutral
"Didi, in Lecture/Chapter 3, in practice questions, 
The 1st question can also be done like this:
mov1 = input(""enter 1st movie: "")
mov2 = input(""enter 2nd movie: "")
mov3 = input(""enter 3rd movie: "")
movies = [mov1, mov2, mov3]
print(movies)

instead of this:
movies = [ ]
mov1 = input(""enter 1st movie: "")
mov2 = input(""enter 2nd movie: "")
mov3 = input(""enter 3rd movie: "")
movies.append(mov1)
movies.append(mov2)
movies.append(mov3)
print(movies)",20,@SuryaKrishna-26,2025-01-19T09:23:53Z,0.3612,Positive
"In 1:34:00 during input syntax we will have to write int(input(""marks""))
Otherwise error will come because it will consider input as string but we are putting input as 90 etc which is integer",2,@hrishikeshshukla2781,2025-11-24T13:18:29Z,-0.2144,Negative
Day 1 : @ 32:04,6,@gwshaanff,2024-11-20T14:03:21Z,0.0,Neutral
Jiske pas laptop nahi hai 😢 vo phone me 'PYDROID 3' me python Sikh sakta hai 👍😇,16,@radhakrishn7654,2025-07-04T18:29:03Z,0.0,Neutral
Mam I will be 60 in coming June. Just 4/5 months back I learned C language from your esteemed YouTube channel ApnaCollege. It was quite interesting and this time you came with one more opportunity Python I will take full advantage of this gracious class. Ayusmati bhava.,31,@RC-yz2pb,2024-02-15T11:25:28Z,0.9272,Positive
It is nice to take your class and I also understand it.,0,@Sad-v4q,2025-08-31T17:26:38Z,0.4215,Positive
October 19 anyone 😭,9,@pranavjamalpue1905,2025-10-19T05:24:19Z,0.0,Neutral
"8th march-37:40 
9th march-1:04:52 
10th march-1:23:08 
11th march-1:57:28 
12th march-2:32:18
13th march-3:01:53
14th march-3:38:21
15th march-4:08:04
16th march-4:40:03
17th march-5:01:28
18th march-5:31:24
19th march- got exhausted
20th march-6:04:26

21st march-6:31:23

22nd march-7:05:28

23rd march-7:31:22

A big break

3rd april-7:22:28 [revising]

4th april-7:47:37

11th april-1:55:28

16th april-2:32:18

17th april-3:01:59

18th april-3:27:14

19th april-3:49:25

20th april-4:08:01

22th april-4:21:23

23rd april-4:34:06

24th april-5:01:30

27th april-5:37:45

1st may-5:46:41

1st may-6:00:43

4th may-6:18:38

5th may-6:33:00

14th may-6:36:46

15th may -7:05:27

17th may-7:22:33

18th may-7:55:06

20th may-7:55:27

21st may -8:09:37",34,@known_man,2025-03-11T20:27:58Z,-0.3612,Negative
Is any one in November 5. Virat Kohli birthday+ python course 😂,4,@RameShh_05,2025-11-04T17:18:00Z,0.0,Neutral
"Wow, this changed my perspective. Great job! 💡",0,@StefanIslam,2025-09-24T15:16:57Z,0.8478,Positive
Who is watching It in July 😅,7,@neonani1,2024-07-01T08:03:12Z,0.0,Neutral
who is on november 8,20,@AjaySarangamath,2025-11-03T15:46:08Z,0.0,Neutral
"Solution of home work problem of functions at 6:36:38
def check_number(Num):
    if Num%2==0:
        print(""EVEN"")
    else:
        print(""ODD"")
check_number(4)",7,@HellFire_Clubx,2024-06-25T06:56:15Z,-0.1027,Negative
4:09 muje isliye chaiye kyunki kal mera exam ha 😢😢,2,@AZ_SHLOK_YT,2025-10-16T07:26:11Z,0.34,Positive
23rd October 2k25 anyone ??,6,@itz_thebosmita,2025-10-23T12:18:26Z,0.0,Neutral
What a timing Mai python ke liye channel dekh rahi thi 1 shot apki video aa gyi. Thank you❤,15,@vanshikayadav9571,2024-02-13T14:00:33Z,0.3612,Positive
"Video mujh hi unorder lag rhi he ya tum ko bhi bcz associativity precedence logic operators padhe nhi aur unke questions phle se kese samjha aayege jab concept hi nhi bataya 


Do you feel same ?",31,@KhemSingh-g8v,2024-02-18T05:45:46Z,-0.34,Negative
"1:34:22 marks = int(input(""mark : "") hoga",0,@thunder-x2i,2025-08-26T07:01:57Z,0.0,Neutral
"Thank You So much DiDi For your Amazing class.... 
I have been listening to you for a year mashallah may Allah give you more progress your teaching method is very good keep it up.
I'M from Pakistan , I thank you enough because I have learned a lot from you Javascript HTML, CSS ,SQL ,GitHub and Python , I look forward to your every lecture thank you very much If I ever get a chance in life, I will definitely meet you",4,@raohammadraza,2024-02-12T18:08:07Z,0.9652,Positive
Day1: 12:00 pm started  --->12:00am Completed😈,5,@MuhammadMuazShafique,2025-12-16T13:44:13Z,0.0,Neutral
"1:04:48, in python -a % -b , remainder is -ve",33,@littlejin-n8x,2024-02-14T09:02:49Z,0.0,Neutral
In my Mac I opened vs code but I can’t see the run button at right,0,@pikulparidaa,2025-09-07T10:33:59Z,0.0,Neutral
"In first 1hour and 20 minutes , you didn't taught operators but operators were included in 1st practice question set at 1:20:00. Operator starts at 1:57:00",22,@kostubhsinghtomar6453,2024-04-10T18:30:07Z,0.0,Neutral
1st chapter completed 2:32:17 then start a second chapter 😅😅,15,@MahendriSingh-hu7mk,2024-10-20T02:50:45Z,0.0,Neutral
First time I am seeing teaching a language with ABCD...so simple to understand and with baby steps without in hurry. Loved it...I am a non tech person without any exprience in coding but still I am able to understand and follow it. Today first time I installed VSCode and Python and able to do at same time. A BIG thank you :),9,@30sguptaa,2025-10-03T17:26:42Z,0.7333,Positive
Almost 1 cr views in little more than 1.5 years. Amazing.,0,@anikaitdash6519,2025-09-16T12:26:27Z,0.5859,Positive
There is mistake that if nominator is negative and denominator positive then answer would be negative.,4,@spunforfun8986,2024-09-14T13:10:39Z,-0.7351,Negative
Thank you mam ❤ very much 🎉🎉🎉 I am so happy today because python is my second favorite language.... Thanks again 😊,10,@protoman331,2024-02-12T15:22:10Z,0.9208,Positive
ye kya tha ☠☠29:34  💀💀💀💀💀🤡🤡🤡🤡🤡,8,@neeraj-kumar-,2024-02-28T05:28:00Z,0.0,Neutral
Thank you so much for help to learn python 😊🎉,0,@kkumarisilelania,2025-11-07T02:50:21Z,0.6666,Positive
B tech students attendance please... ☺😁,5,@darshanajudiya7,2024-06-18T09:29:02Z,0.0,Neutral
Didi loops samajh main nhi aaya ... 😢,6,@itsnarayanfact,2024-03-18T06:30:42Z,0.0,Neutral
Any one in 2025,4,@alugojusairuthwik639,2025-02-19T16:39:41Z,0.0,Neutral
Thank u so much didi aapke vajah se mai python acche se sikha chuka hu 🙂,0,@TGamezOfficial,2025-12-16T05:13:41Z,0.3612,Positive
"4:03:16

list = list(input(""list : ""))
a = list.copy()
a.reverse()

print(list)

if(list == a):
    print(""list:palindrome"")
else:
    print(""list:not palimdrome "")😊",14,@SiddharthOOOO,2024-05-12T19:14:21Z,0.0,Neutral
Thank you so much for so much of knowledge and information.. Loved it.. Thank you❤🙏🙏🙏,17,@jgeetanjali555,2024-03-06T04:34:04Z,0.836,Positive
Anyone in 2025❤,10,@ajeetssaini,2025-01-10T15:40:05Z,0.0,Neutral
1:04:43 if n or d is negative then the reminder is also negative not positive,1,@Darkafflictions,2025-09-10T15:57:50Z,-0.884,Negative
"s = (1, 4, 9, 16, 25, 36, 49, 64, 81, 100)
f= 36
i = 0
while i < len(s):
    if (s[i] == f):
        print(""Mil Gaya index No:"", i , ""Per"")
        break
    else:
        print(""Mai Dhoondh rha hoon ... "")
    i+=1
print(""Wow ! Talash khatam hoi"")

😎",65,@Softsir28,2024-03-05T16:09:21Z,0.0,Neutral
Can anybody tell that this one shot or python lecutres of mam on her channel both are same or different?,4,@Aditya-fh4qg,2025-01-28T14:48:18Z,0.0,Neutral
Anyone  here in 2025. 🤙🏻🤙🏻🤙🏻,5,@PrakharMehra,2025-01-02T12:31:45Z,0.0,Neutral
@ 7:55:14     ye practice questions bohet mushkil the per finally completed men khud se to nahi ker pai lekin practice ho gei he full.,1,@AmnaTehreem-c3n,2025-09-24T07:11:12Z,0.0,Neutral
First year students attendance lagao✋✋🤟🤟,4,@memesyoyo,2025-07-04T06:40:06Z,0.0,Neutral
15Octuber 2025😂,9,@respectshorts5920,2025-10-15T13:56:52Z,0.0,Neutral
"There's a mistake in the Conditional Statements part (1:33:38). In the first line it will be int(input( ""Marks:""))    without int the input will be considered string input",20,@gargipandit1468,2024-02-27T05:29:54Z,-0.34,Negative
"Excellent teaching Skills,
Me as a person with no technical background she has been very helpful in learning the Python basics.",0,@TheMisbahuddin,2025-11-23T18:34:19Z,0.6801,Positive
"Give me a Huge round of applause 
For completing 1 hour of this course I am at  58:48",18,@entirethings7095,2024-02-12T16:07:19Z,0.6249,Positive
"27:34 Aapka matlub ka Shradha ka Price @25.99 hai, yeh toh Dark Hogya 💀",6,@Hntr_JaguarX,2025-01-04T22:41:30Z,0.0,Neutral
Thanks didi ❤,8,@crazynehashorts457,2024-02-12T14:25:04Z,0.4404,Positive
Shradha didi is great.. I am learning from your videos,0,@rv5486,2025-08-24T18:22:01Z,0.0,Neutral
"In my entire learning Spree since many years, This is the only one course that I have watched Entirely from Start to End. Thank You Shradha for creating this course. I have just stepped into programming by this course. I hope I can do wonders going ahead.

Thank You.
Sincere Regards. :)",8,@yadugosain,2024-05-13T18:05:13Z,0.93,Positive
A̤n̤y̤o̤n̤e̤ f̤r̤o̤m̤ n̤o̤v̤ 2025 😊,5,@Viratkohli-18183,2025-11-06T06:53:57Z,0.0,Neutral
Anyone here in 2026😂😂😂,3,@anirudhahake6779,2025-09-26T13:43:27Z,0.0,Neutral
Today I have completed chapter 3. Thanks Apna Collage,1,@user-pi6mc3wm5w,2026-01-03T04:37:23Z,0.4404,Positive
"def function(n):
       if(n%2==0):
           print(""EVEN"")
       else:
           print(""ODD"")

function(int(input(""enter any number"")))",5,@vanisha3190,2024-06-16T10:16:52Z,0.0,Neutral
"26:57  But assigning a value to a variable means, variable's label is referring to that value , so if we change the value then variable will no longer be referencing to that same memory location , variable will refer to a new memory address . In traditional programming languages we use to do the thing you said , where the variable stores value at same location and changes value stored in it.",6,@AnureetKaurGill,2024-06-20T11:58:57Z,0.9136,Positive
Your teaching methods are awesome.. So simple to understand u cover all concepts and make it so easy to understand,8,@satinderonweb9641,2024-02-22T11:04:24Z,0.5777,Positive
mam python run krne ka button vs code me kha h show nhi hora,0,@amreensheikh9909,2025-11-16T07:29:22Z,0.0,Neutral
"find max no in 4 value
num1 = int(input(""Enter First number: ""))
num2 = int(input(""Enter second number: ""))
num3 = int(input(""Enter third number: ""))
num4 = int(input(""Enter Fourth number: ""))

if(num1>num2 and num1>num3 and num1>num4):
    print(""max"", num1)
elif(num2>num3 and num2>num1 and num2>num4):
    print(""max"",num2)
elif(num3>num4 and num3>num2 and num3>num1):
    print(""max"",num3)
else:
    print(""max"",num4)",11,@ironman4906,2024-04-08T18:17:20Z,0.34,Positive
"In comment section all are saying that they have completed this in 10 days 5 days but I am watching it from 1-1.5 months but still I have not completed 
Because while watching the video I am practicing also and the other main thing is that I am a 9 class school student so I don't get that much time everyday to finish the video in 10 days",4,@RaunakThakur-wk4rh,2025-05-29T09:56:02Z,0.0,Neutral
17:00 run ka option nahi aa raha,4,@rohitmitra-f5l,2024-12-07T16:26:39Z,0.0,Neutral
conditional statement ka topic du bar aageya!,0,@KabirSingh-b4q,2025-09-17T09:09:04Z,0.0,Neutral
Anyone here in September 2024 😂,4,@MilesWithMeteor,2024-09-04T11:45:28Z,0.0,Neutral
"Day 1 : @10:00:0 Completed nonstop
Thank you!",24,@papahowiamdoing,2024-03-28T09:23:12Z,0.4199,Positive
Diploma students attendance here,12,@Angel_87092,2024-04-23T15:35:24Z,0.0,Neutral
Looks like you had an amazing day! ✨,0,@MoradCharfaoui,2025-08-25T17:28:06Z,0.7644,Positive
07-12-2025 any one😂😂😂,12,@keertikatyagi2507,2025-12-07T03:30:00Z,0.0,Neutral
15 october anyone here,3,@Grobertjook,2025-10-15T09:33:00Z,0.0,Neutral
"As an experienced Python developer, I watched this video, and it's really impressive and well-made.",7,@rehmatqadeertech,2024-02-27T11:10:51Z,0.5563,Positive
Thanks didi I am student of b-tech 1st year. Python is very important for me.,0,@rubinabibi9339,2025-09-21T03:44:19Z,0.6115,Positive
1 november  2025 anyone ? 😂😂,5,@Mr.Sameer-x6m,2025-10-30T04:02:56Z,0.0,Neutral
Anyone in 2026🎉😂,25,@RoyalUser-q9f,2026-01-04T06:29:08Z,0.0,Neutral
Anyone here in May 2025,5,@RHCreativePodcast,2025-05-04T11:26:51Z,0.0,Neutral
LOVED YOUR VIDEO TRAINING. NO WORDS,0,@mepmep5682,2025-09-09T15:08:09Z,0.4019,Positive
10th pass attendance lgao 😂😂😂🤡,4,@HimanshuRajBhagat,2024-04-10T03:50:59Z,0.0,Neutral
"01:33 Python is a versatile and powerful programming language for beginners.
2:54:46 Python is a widely-used programming language.
4:27:10 Python is a powerful and versatile programming language.
5:48:38 Learn Python basics and practice questions.
7:23:52 Understanding the basics of Python programming
8:30:21 Introduction to Python for beginners
9:06:55 Learn the basics of Python programming
9:40:53 Python is a powerful and efficient programming language for beginners",14,@Do-while-loop,2024-02-15T04:56:58Z,0.8807,Positive
"1:33:58
marks = input(""marks : "") ❌
marks = int(input(""marks : "") ✅",13,@PiyugoGaming,2024-04-09T11:36:37Z,0.0,Neutral
THANKS FROM THE CORE OF MY HEART❤️❤️❤️,0,@ArubaJamil-s7l,2025-10-19T14:57:32Z,0.4404,Positive
21 october 2025❤,4,@Hindimoralkahany,2025-10-21T10:12:39Z,0.0,Neutral
Today is my birthday 🎉🎂,4,@motivation5181,2024-07-04T04:57:15Z,0.0,Neutral
CBSE board  like karo (2025),5,@RinkuPratihast-n3u,2025-03-17T06:10:37Z,0.3612,Positive
Best thing about you ma'am is that you are providing notes,0,@KanchanSingh-so3td,2025-12-25T12:19:57Z,0.6369,Positive
Class 10 attendence plz😅,19,@shridhargamingworld9645,2024-03-14T16:22:01Z,0.0,Neutral
Anyone here watching from 4 Oct 2025,3,@pra18450,2025-10-04T10:34:56Z,0.0,Neutral
"exellent lect,thanks a lot for this",0,@mazharalam1011,2025-09-28T15:36:55Z,0.0,Neutral
"Please mam, create some video for Numpy, Pandas and Matplotlib... 🙏🏻😭",1,@ShovanHazra-h8b,2025-09-16T06:55:42Z,0.5267,Positive
"2: 27: 17 num1 = (input(""Enter first Number:  ""))
                num2 = (input(""Enter Second Number: ""))
                sum = num1 + num2 
                print(sum)",0,@arinshrivastava6268,2025-10-18T10:43:16Z,0.1531,Positive
"mam hum 5:21:50 me q4 me ese bhi kr skte hain-
i=1
while i<=10:
    print(i*i)
    i=i+1",1,@factonia914,2026-01-14T10:51:54Z,0.0,Neutral
You teaching way is so much good.,0,@buddhistore,2025-09-27T13:57:44Z,0.4902,Positive
didi dsa python par  vidio bnao,0,@RajRajpoot-w9u,2025-10-29T06:55:16Z,0.0,Neutral
Recursion be like : Hila dala na?! Dimag ka dahi kardala na🤣,0,@AlvidaRahmanTanisha,2025-09-06T06:24:40Z,0.4199,Positive
Great video! Thanks for sharing.,0,@shezi0769,2025-09-04T12:53:45Z,0.8777,Positive
Very talented girls ❤❤❤,0,@AsadChandia-t5o,2025-08-28T17:37:27Z,0.5563,Positive
you make my dad proud of me 7 year old thank you very very much,0,@ShreyRathore-d6o,2025-11-01T12:49:31Z,0.6808,Positive
very good lecture series Thank you,0,@taahaomer,2025-09-04T07:44:17Z,0.6901,Positive
Thank you ❤290 subscriber complete on you tube🎉🎉🎉🎉❤,0,@Alltimebhaktii,2025-08-29T04:12:22Z,0.3612,Positive
"27 oct : 1:00:00 
28 oct : 2:00:00
29 oct : 3:01:53
30 oct : 4:08:02
31 oct : 5:01:24
03 nov : 6:04:23
04 nov : 7:05:25
05 nov : 7:55:26
06 nov : 8:51:21
09 nov : 10:00:07",1,@rohitwagh1193,2025-10-28T12:05:59Z,0.0,Neutral
Thank you very much to Shardha didi & Apna college serious for amazing,0,@TaherUdaipurwala,2025-11-05T05:00:23Z,0.7184,Positive
Please give me road map for data analysis,0,@HassanKhan-t8v,2025-08-30T18:25:15Z,0.3182,Positive
I like your way of teaching and this is nice video.,0,@SociologyHub_elearning,2025-10-19T15:36:57Z,0.6486,Positive
3:25:09 didi isako hm max function se easilynkar sakte hain❤❤❤,1,@VishalKaushik-s2i,2025-09-01T07:23:28Z,0.0,Neutral
Best teacher of my life Didi,0,@Yaren-h4j,2025-09-10T22:36:39Z,0.6369,Positive
Thank you for sharing!,1,@Saniya-n7q,2025-08-25T11:38:19Z,0.68,Positive
Is anyone here from MNNIT ALLAHABAD,1,@dhirajshah.,2025-09-06T06:05:49Z,0.0,Neutral
"Thank you mam, you really teach very well",1,@AbhishekSingh-jj8fx,2025-09-20T14:28:56Z,0.6318,Positive
"Hello ma'am 
Notes download nhi ho rhe h ,
Kaise download karu",0,@BbBb-b9k,2025-09-13T09:30:36Z,0.0,Neutral
Can anyone making with notes,1,@gonxt18,2025-08-27T05:25:18Z,0.0,Neutral
"Hello @AplaCollegeOfficial, may you please explain what extensions did you install to run the language.",0,@OMNITOONS-m2h,2025-10-14T13:12:57Z,0.3182,Positive
"Hlo mam , can u tell me that which extension you used for spacing in python",0,@sverma002,2025-09-23T12:47:35Z,0.0,Neutral
NICD VIDEO IT HELPED ME VERY WELL TO UNERSTAND THNX,0,@botXAnil,2025-11-14T17:13:47Z,0.3384,Positive
I am impressed by the depth of your knowledge and your explainantions. well done👏👏,0,@balwantrandev606,2025-12-12T09:37:29Z,0.6369,Positive
"thank you so much for this video.. correction - ASCII value of A - 65, and a - 97",0,@ismailmohd7948,2025-09-09T06:18:46Z,0.5994,Positive
This just unlocked everything for me!,0,@PradeepPradeep-iv7tc,2025-12-05T20:41:16Z,0.0,Neutral
mam aap itni jaldi type kaisa kr lati ho is topic pa ak video bano na,0,@ShivBhardwaj-i7x5c,2025-11-10T18:24:58Z,0.0,Neutral
somebody can me show ? wher is types of operators ?,0,@MRrohankumardas,2025-08-28T19:29:44Z,0.0,Neutral
Pls tell me Blockchain developer roadmap...,0,@sufiyanshaikh-g7m,2025-09-15T04:59:09Z,0.0772,Positive
You are the BEST; God bless you!,0,@NEG0POS,2025-09-28T02:19:39Z,0.8786,Positive
"Thanks ma'am this is video is very nice 🙂
Python is my favorite 🥰🥰😍😍😍😍",0,@Amanpandey-ky2cr,2025-11-09T10:06:15Z,0.8399,Positive
Didi ap ka course kab se start ho।rha ha,0,@Garima-ne5eh,2025-08-21T16:17:26Z,0.34,Positive
"Hi Didi,
Kya aap please books ki recommandation de sakti hai python ke bare me. Or jitne bhi or jayada coding ke languages hai unke bare me bhi. Pleaseeee.",0,@anandpapdiwal7523,2025-09-15T11:55:32Z,0.3182,Positive
"Mam java , Payton, or bhi skills hain jo apne free sikhaya hain jab ham ye skills sekh lengey toh company profe ke liye skills saibiticket magegi toh ham profe ke liye saibiticket kaha se laye",1,@Pkgoldage,2025-09-28T14:18:18Z,0.5106,Positive
#vote for data analytics course,2,@apna_cartoon01,2025-09-28T12:57:13Z,0.0,Neutral
Thank you very much Tai... ❤😊,1,@AnuragGaikwad-q3c,2025-11-08T20:36:03Z,0.3612,Positive
Where is the operator precedence table?,0,@vishalgill120,2025-09-13T03:11:30Z,0.0,Neutral
"In my college 6 month - python 😢
On YouTube - One Day 😂",1,@Er.EagleBarela,2025-09-16T05:40:37Z,0.0,Neutral
please python me dsa krva dijiyeeee,1,@muskansinha2004,2025-12-02T20:51:58Z,0.3182,Positive
Please reply if anyone has made notes from ma'am lecture,0,@ahsankhalid4865,2025-10-07T08:54:48Z,0.3182,Positive
"Ma'am...
Conditional statements me 
Aap ne ek code wrong likha hai 
Marks=int(input(""marks:""))..hoga",0,@AnkitaMaurya-n3p,2025-08-31T08:56:48Z,-0.4767,Negative
Maim aap bahut achi padati ho,0,@Sandeepkumar-gu9zy,2025-08-31T16:44:09Z,0.0,Neutral
Anyone in October 25,1,@VivekPundir-r8e,2025-10-02T05:29:43Z,0.0,Neutral
"very good mam , very nice the python",0,@JobsIsland,2025-12-18T01:04:13Z,0.742,Positive
"Shraddha mam, the way you taught was appreciable. I'm learning python for the 1st time from you and i found it easy the way you explain... but can you help   me on telling where can i found python related problems to strong my programming carrier",0,@tarungusain8778,2025-12-12T11:16:58Z,0.7506,Positive
